"unigram","bigram","freq"
"but","its",49
"do","i",49
"in","order",49
"know","what",49
"might","be",49
"that","a",49
"there","were",49
"up","for",49
"when","it",49
"with","you",49
"a","week",48
"about","a",48
"fact","that",48
"i","get",48
"if","it",48
"is","one",48
"st","louis",48
"was","so",48
"but","they",47
"due","to",47
"had","the",47
"i","wanted",47
"the","kids",47
"to","hear",47
"to","pay",47
"but","not",46
"for","your",46
"hard","to",46
"high","school",46
"is","still",46
"needs","to",46
"that","has",46
"the","big",46
"to","your",46
"up","a",46
"who","have",46
"a","day",45
"and","if",45
"at","this",45
"but","that",45
"check","out",45
"even","though",45
"him","to",45
"if","youre",45
"it","doesnt",45
"ive","been",45
"of","what",45
"rather","than",45
"see","the",45
"that","this",45
"the","rest",45
"the","th",45
"time","for",45
"to","write",45
"us","to",45
"what","the",45
"you","for",45
"and","not",44
"are","in",44
"as","an",44
"better","than",44
"got","a",44
"in","her",44
"much","of",44
"next","week",44
"they","will",44
"this","was",44
"you","see",44
"and","have",43
"and","im",43
"between","the",43
"dont","think",43
"each","other",43
"for","more",43
"for","some",43
"it","a",43
"it","for",43
"my","first",43
"on","their",43
"out","there",43
"ready","to",43
"see","you",43
"seem","to",43
"sense","of",43
"she","had",43
"so","far",43
"so","you",43
"the","case",43
"they","can",43
"to","him",43
"what","we",43
"who","had",43
"with","me",43
"and","for",42
"because","it",42
"did","you",42
"even","if",42
"for","her",42
"it","can",42
"me","a",42
"on","that",42
"side","of",42
"tell","you",42
"we","do",42
"we","dont",42
"will","have",42
"with","this",42
"a","man",41
"and","there",41
"could","have",41
"for","him",41
"for","years",41
"forward","to",41
"has","to",41
"i","also",41
"is","what",41
"its","the",41
"less","than",41
"the","road",41
"the","united",41
"time","and",41
"to","their",41
"too","much",41
"among","the",40
"and","will",40
"but","this",40
"continue","to",40
"for","all",40
"from","my",40
"got","to",40
"him","and",40
"i","went",40
"in","fact",40
"is","my",40
"is","so",40
"it","i",40
"its","just",40
"live","in",40
"long","time",40
"my","heart",40
"order","to",40
"percent","of",40
"thanks","to",40
"the","more",40
"the","old",40
"the","team",40
"to","her",40
"what","it",40
"with","it",40
"working","on",40
"you","and",40
"you","do",40
"a","while",39
"and","now",39
"at","home",39
"because","the",39
"is","also",39
"is","on",39
"love","to",39
"made","it",39
"make","sure",39
"need","a",39
"needed","to",39
"rest","of",39
"so","many",39
"to","stay",39
"to","tell",39
"to","try",39
"top","of",39
"under","the",39
"united","states",39
"when","she",39
"who","has",39
"you","cant",39
"and","this",38
"as","you",38
"come","to",38
"i","mean",38
"im","going",38
"is","about",38
"it","as",38
"looks","like",38
"my","own",38
"on","it",38
"out","for",38
"so","the",38
"so","we",38
"supposed","to",38
"the","entire",38
"the","film",38
"the","future",38
"the","idea",38
"the","police",38
"theres","a",38
"to","create",38
"to","think",38
"two","years",38
"we","all",38
"what","he",38
"would","like",38
"amount","of",37
"and","even",37
"and","she",37
"and","so",37
"and","some",37
"and","their",37
"during","a",37
"is","now",37
"it","on",37
"it","wasnt",37
"its","been",37
"lack","of",37
"looking","at",37
"love","the",37
"made","a",37
"not","just",37
"talking","about",37
"that","had",37
"them","in",37
"this","one",37
"to","it",37
"until","the",37
"was","an",37
"a","huge",36
"a","large",36
"about","how",36
"after","a",36
"can","do",36
"for","that",36
"front","of",36
"hope","you",36
"how","i",36
"how","many",36
"if","he",36
"love","you",36
"made","the",36
"may","have",36
"much","as",36
"must","be",36
"now","i",36
"on","to",36
"since","the",36
"that","there",36
"the","man",36
"the","show",36
"they","had",36
"to","learn",36
"to","share",36
"wait","to",36
"which","i",36
"your","life",36
"a","different",35
"a","time",35
"along","the",35
"and","has",35
"any","of",35
"for","those",35
"i","should",35
"in","front",35
"it","up",35
"my","mom",35
"out","in",35
"said","it",35
"talk","to",35
"the","american",35
"the","country",35
"the","public",35
"this","morning",35
"to","check",35
"to","meet",35
"to","watch",35
"we","could",35
"what","they",35
"what","was",35
"you","need",35
"a","chance",34
"a","way",34
"and","one",34
"and","said",34
"and","what",34
"because","they",34
"being","a",34
"do","with",34
"dont","want",34
"find","a",34
"for","it",34
"for","us",34
"he","will",34
"is","being",34
"it","but",34
"it","with",34
"los","angeles",34
"not","going",34
"on","our",34
"or","not",34
"seems","to",34
"she","has",34
"the","family",34
"the","middle",34
"to","buy",34
"to","change",34
"to","leave",34
"to","live",34
"to","move",34
"to","win",34
"a","nice",33
"a","woman",33
"about","to",33
"all","i",33
"am","not",33
"and","how",33
"because","he",33
"day","and",33
"day","of",33
"deal","with",33
"director","of",33
"down","and",33
"easy","to",33
"expected","to",33
"for","our",33
"how","the",33
"i","havent",33
"i","knew",33
"last","night",33
"look","like",33
"might","have",33
"not","sure",33
"of","life",33
"said","in",33
"tell","me",33
"that","my",33
"the","morning",33
"the","program",33
"think","i",33
"to","show",33
"to","stop",33
"type","of",33
"we","got",33
"which","was",33
"with","all",33
"years","of",33
"at","my",32
"back","and",32
"believe","that",32
"came","to",32
"chance","to",32
"do","the",32
"family","and",32
"happy","to",32
"have","an",32
"having","a",32
"he","could",32
"he","says",32
"i","always",32
"it","comes",32
"like","this",32
"love","it",32
"more","of",32
"my","favorite",32
"no","longer",32
"of","things",32
"one","day",32
"opportunity","to",32
"should","have",32
"something","that",32
"the","board",32
"the","final",32
"the","good",32
"the","market",32
"the","real",32
"the","university",32
"them","and",32
"they","would",32
"we","need",32
"where","he",32
"with","him",32
"a","series",31
"am","i",31
"and","an",31
"as","if",31
"before","i",31
"but","she",31
"but","you",31
"follow","me",31
"has","the",31
"he","did",31
"here","are",31
"his","first",31
"hope","to",31
"i","couldnt",31
"i","felt",31
"i","hate",31
"i","see",31
"i","still",31
"im","a",31
"in","it",31
"in","other",31
"is","more",31
"is","very",31
"last","month",31
"life","and",31
"like","that",31
"much","more",31
"new","jersey",31
"next","year",31
"one","thing",31
"people","are",31
"people","to",31
"see","what",31
"something","to",31
"the","back",31
"the","county",31
"the","great",31
"the","high",31
"the","person",31
"the","point",31
"think","of",31
"to","bring",31
"to","that",31
"told","me",31
"was","to",31
"we","want",31
"where","i",31
"while","the",31
"why","i",31
"will","not",31
"would","not",31
"you","might",31
"am","a",30
"and","had",30
"and","of",30
"are","all",30
"but","to",30
"department","of",30
"i","started",30
"in","one",30
"is","just",30
"it","out",30
"just","as",30
"know","i",30
"list","of",30
"million","in",30
"no","matter",30
"off","to",30
"say","that",30
"set","up",30
"so","it",30
"sort","of",30
"the","federal",30
"they","dont",30
"think","its",30
"think","that",30
"to","our",30
"to","read",30
"took","a",30
"was","going",30
"what","a",30
"what","to",30
"with","some",30
"you","may",30
"your","own",30
"a","better",29
"a","more",29
"a","second",29
"ability","to",29
"all","day",29
"also","a",29
"and","no",29
"as","long",29
"become","a",29
"can","get",29
"can","you",29
"comes","to",29
"could","not",29
"even","more",29
"excited","to",29
"for","one",29
"for","them",29
"going","on",29
"had","no",29
"i","found",29
"in","some",29
"just","the",29
"know","how",29
"make","the",29
"next","to",29
"said","its",29
"said","they",29
"said","we",29
"series","of",29
"the","national",29
"the","third",29
"think","about",29
"thought","it",29
"to","become",29
"two","weeks",29
"way","of",29
"were","going",29
"while","i",29
"with","that",29
"with","their",29
"with","them",29
"a","place",28
"about","this",28
"and","thats",28
"at","am",28
"but","a",28
"but","if",28
"but","im",28
"but","there",28
"close","to",28
"day","i",28
"down","to",28
"every","time",28
"find","out",28
"focus","on",28
"get","it",28
"have","you",28
"his","own",28
"i","said",28
"i","say",28
"ill","be",28
"im","so",28
"in","its",28
"in","love",28
"in","to",28
"it","the",28
"many","people",28
"of","any",28
"of","time",28
"out","that",28
"some","people",28
"the","car",28
"the","face",28
"the","government",28
"the","moment",28
"the","reason",28
"the","school",28
"the","water",28
"the","word",28
"things","that",28
"thousands","of",28
"throughout","the",28
"to","talk",28
"to","them",28
"university","of",28
"us","and",28
"were","in",28
"with","one",28
"would","you",28
"year","and",28
"you","should",28
"you","would",28
"a","child",27
"addition","to",27
"and","were",27
"as","part",27
"can","see",27
"every","day",27
"for","their",27
"for","two",27
"from","her",27
"full","of",27
"good","to",27
"group","of",27
"her","and",27
"here","is",27
"him","in",27
"i","made",27
"i","used",27
"in","addition",27
"in","all",27
"is","this",27
"know","the",27
"like","it",27
"long","as",27
"me","in",27
"my","family",27
"my","husband",27
"no","idea",27
"now","and",27
"one","is",27
"one","that",27
"only","one",27
"onto","the",27
"out","with",27
"people","in",27
"place","to",27
"plan","to",27
"see","how",27
"talk","about",27
"that","have",27
"that","in",27
"that","its",27
"the","bottom",27
"the","citys",27
"the","door",27
"the","night",27
"the","states",27
"the","truth",27
"then","the",27
"they","could",27
"this","season",27
"this","weekend",27
"time","in",27
"told","the",27
"use","the",27
"were","a",27
"what","do",27
"which","has",27
"will","get",27
"work","on",27
"you","guys",27
"you","the",27
"add","the",26
"all","over",26
"all","those",26
"and","as",26
"as","many",26
"as","possible",26
"back","on",26
"behind","the",26
"but","in",26
"few","years",26
"for","its",26
"happy","birthday",26
"he","also",26
"he","can",26
"here","and",26
"i","believe",26
"i","remember",26
"it","had",26
"like","i",26
"listen","to",26
"looking","forward",26
"of","being",26
"of","god",26
"of","me",26
"of","which",26
"on","an",26
"out","a",26
"say","the",26
"see","a",26
"that","if",26
"that","were",26
"the","ball",26
"the","court",26
"the","current",26
"the","front",26
"the","law",26
"the","movie",26
"the","name",26
"the","original",26
"the","process",26
"the","sun",26
"then","i",26
"these","are",26
"think","it",26
"time","of",26
"time","the",26
"to","eat",26
"trip","to",26
"two","of",26
"version","of",26
"wake","up",26
"was","that",26
"we","get",26
"willing","to",26
"years","and",26
"a","single",25
"after","all",25
"and","when",25
"are","going",25
"are","so",25
"be","on",25
"both","the",25
"come","out",25
"create","a",25
"do","so",25
"hes","a",25
"home","and",25
"is","always",25
"is","only",25
"is","why",25
"it","seems",25
"just","one",25
"listening","to",25
"man","who",25
"members","of",25
"not","even",25
"now","the",25
"on","friday",25
"only","a",25
"over","to",25
"picked","up",25
"piece","of",25
"plans","to",25
"said","but",25
"that","means",25
"thats","a",25
"the","economy",25
"the","hospital",25
"the","money",25
"the","number",25
"the","project",25
"the","wrong",25
"they","say",25
"to","run",25
"wait","for",25
"we","would",25
"when","a",25
"will","make",25
"with","your",25
"you","a",25
"you","in",25
"you","were",25
"a","former",24
"a","month",24
"a","quick",24
"a","real",24
"a","wonderful",24
"all","my",24
"and","be",24
"and","see",24
"be","there",24
"but","also",24
"did","i",24
"for","about",24
"go","back",24
"hit","the",24
"how","do",24
"i","look",24
"i","never",24
"i","read",24
"i","took",24
"in","for",24
"is","there",24
"it","takes",24
"last","years",24
"member","of",24
"more","to",24
"my","head",24
"of","new",24
"of","two",24
"on","saturday",24
"plenty","of",24
"said","she",24
"same","time",24
"san","francisco",24
"seemed","to",24
"she","would",24
"take","the",24
"that","can",24
"the","field",24
"the","ground",24
"the","north",24
"the","place",24
"the","things",24
"thought","i",24
"to","begin",24
"to","pm",24
"to","protect",24
"to","provide",24
"to","spend",24
"use","of",24
"waiting","for",24
"was","no",24
"we","did",24
"we","know",24
"were","the",24
"with","no",24
"without","a",24
"you","all",24
"a","group",23
"a","job",23
"a","major",23
"a","special",23
"an","amazing",23
"an","hour",23
"and","get",23
"are","some",23
"at","me",23
"been","the",23
"day","to",23
"down","on",23
"few","days",23
"five","years",23
"for","example",23
"good","luck",23
"has","not",23
"have","had",23
"he","didnt",23
"he","would",23
"home","in",23
"i","wouldnt",23
"if","not",23
"into","my",23
"is","expected",23
"it","may",23
"it","really",23
"it","so",23
"its","own",23
"just","to",23
"keep","the",23
"know","if",23
"me","on",23
"me","that",23
"much","better",23
"now","that",23
"one","in",23
"or","two",23
"outside","the",23
"pretty","much",23
"see","that",23
"so","what",23
"terms","of",23
"the","price",23
"the","st",23
"the","wall",23
"the","weather",23
"they","do",23
"they","want",23
"think","the",23
"three","years",23
"to","sell",23
"to","sleep",23
"was","just",23
"well","be",23
"where","they",23
"will","never",23
"work","with",23
"you","just",23
"a","certain",22
"a","guy",22
"after","his",22
"and","just",22
"are","no",22
"at","that",22
"but","as",22
"but","for",22
"but","what",22
"but","when",22
"can","i",22
"can","we",22
"do","that",22
"done","with",22
"each","of",22
"even","the",22
"from","his",22
"from","their",22
"have","it",22
"head","of",22
"her","to",22
"home","to",22
"i","might",22
"i","wish",22
"in","st",22
"including","the",22
"is","as",22
"is","at",22
"is","for",22
"ive","had",22
"known","as",22
"likely","to",22
"little","more",22
"love","and",22
"my","mind",22
"near","the",22
"never","been",22
"not","as",22
"on","top",22
"on","what",22
"one","more",22
"place","in",22
"point","of",22
"see","it",22
"stay","in",22
"that","could",22
"that","one",22
"the","band",22
"the","community",22
"the","companys",22
"the","girls",22
"the","group",22
"the","lord",22
"the","main",22
"the","media",22
"the","street",22
"the","three",22
"the","weekend",22
"the","white",22
"the","years",22
"those","of",22
"to","call",22
"to","continue",22
"to","cut",22
"to","its",22
"was","very",22
"what","if",22
"where","we",22
"which","he",22
"within","the",22
"a","beautiful",21
"a","friend",21
"a","number",21
"about","his",21
"about","my",21
"about","what",21
"access","to",21
"and","at",21
"and","make",21
"and","our",21
"are","still",21
"as","she",21
"at","work",21
"attention","to",21
"be","more",21
"because","its",21
"but","my",21
"by","his",21
"called","the",21
"can","make",21
"did","it",21
"do","this",21
"given","the",21
"him","he",21
"how","you",21
"hundreds","of",21
"i","may",21
"if","its",21
"interested","in",21
"involved","in",21
"it","at",21
"it","could",21
"it","didnt",21
"its","going",21
"its","time",21
"known","for",21
"life","in",21
"looked","at",21
"much","i",21
"my","friend",21
"next","day",21
"nothing","to",21
"off","a",21
"on","tuesday",21
"on","twitter",21
"only","to",21
"or","to",21
"other","people",21
"over","and",21
"pay","for",21
"proud","of",21
"result","of",21
"right","to",21
"so","they",21
"social","media",21
"still","have",21
"that","way",21
"thats","the",21
"thats","what",21
"the","biggest",21
"the","boys",21
"the","district",21
"the","follow",21
"the","job",21
"the","majority",21
"the","power",21
"the","president",21
"the","problem",21
"the","worst",21
"there","will",21
"things","i",21
"things","to",21
"this","will",21
"to","save",21
"to","us",21
"to","visit",21
"today","i",21
"too","many",21
"way","i",21
